"","provincia","canton","distrito","activos"
"114","LIMON","SIQUIRRES","SIN INFORMACION DE DISTRITO",0
"115","ALAJUELA","GRECIA","SIN INFORMACION DE DISTRITO",0
"116","SAN JOSE","SAN JOSE","URUCA",90
"117","CARTAGO","ALVARADO","CERVANTES",3
"118","PUNTARENAS","ESPARZA","CALDERA",15
"119","LIMON","LIMON","SIN INFORMACION DE DISTRITO",0
"120","PUNTARENAS","CORREDORES","SIN INFORMACION DE DISTRITO",0
"121","HEREDIA","HEREDIA","SAN FRANCISCO",220
"122","HEREDIA","SANTO DOMINGO","PARACITO",6
"123","PUNTARENAS","OSA","PALMAR",12
"124","SAN JOSE","DOTA","SANTA MARIA",3
"125","SAN JOSE","ACOSTA","GUAITIL",12
"126","SAN JOSE","TIBAS","ANSELMO LLORENTE",15
"127","LIMON","SIQUIRRES","SIQUIRRES",41
"128","PUNTARENAS","OSA","PIEDRAS BLANCAS",2
"129","GUANACASTE","NANDAYURE","SAN PABLO",1
"130","CARTAGO","TURRIALBA","SANTA CRUZ",13
"131","SAN JOSE","MORA","PIEDRAS NEGRAS",5
"132","ALAJUELA","ALAJUELA","SABANILLA",46
"133","HEREDIA","SANTA BARBARA","SANTO DOMINGO",7
"134","ALAJUELA","UPALA","SAN JOSE O PIZOTE",24
"135","SAN JOSE","PURISCAL","SANTIAGO",81
"136","ALAJUELA","NARANJO","CIRRI SUR",17
"137","PUNTARENAS","CORREDORES","LAUREL",29
"138","PUNTARENAS","GARABITO","TARCOLES",51
"139","LIMON","LIMON","LIMON",69
"140","LIMON","POCOCI","LA COLONIA",3
"141","ALAJUELA","SAN CARLOS","QUESADA",46
"142","PUNTARENAS","BUENOS AIRES","BORUCA",9
"143","SAN JOSE","CURRIDABAT","GRANADILLA",14
"144","HEREDIA","SAN ISIDRO","SAN JOSE",18
"145","SAN JOSE","MORA","PICAGRES",0
"146","CARTAGO","PARAISO","OROSI",2
"147","GUANACASTE","LA CRUZ","LA CRUZ",15
"148","PUNTARENAS","ESPARZA","SAN JUAN GRANDE",28
"149","SAN JOSE","SANTA ANA","SANTA ANA",91
"150","SAN JOSE","TURRUBARES","SAN LUIS",4
"151","ALAJUELA","ALAJUELA","SAN ISIDRO",56
"152","GUANACASTE","NANDAYURE","BEJUCO",0
"153","ALAJUELA","ALAJUELA","RIO SEGUNDO",96
"154","ALAJUELA","ALAJUELA","ALAJUELA",304
"155","PUNTARENAS","PUNTARENAS","SIN INFORMACION DE DISTRITO",0
"156","ALAJUELA","ALAJUELA","SIN INFORMACION DE DISTRITO",0
"157","SAN JOSE","DESAMPARADOS","SAN RAFAEL ARRIBA",17
"158","HEREDIA","SANTO DOMINGO","SANTA ROSA",4
"159","ALAJUELA","SAN MATEO","SIN INFORMACION DE DISTRITO",0
"160","CARTAGO","CARTAGO","CARMEN",46
"161","ALAJUELA","ALAJUELA","SAN RAFAEL",368
"162","LIMON","LIMON","VALLE DE LA ESTRELLA",40
"163","ALAJUELA","SAN CARLOS","LA PALMERA",11
"164","LIMON","LIMON","MATAMA",12
"165","HEREDIA","BARVA","SAN PABLO",53
"166","CARTAGO","LA UNION","SAN RAFAEL",32
"167","GUANACASTE","NICOYA","QUEBRADA HONDA",28
"168","ALAJUELA","SARCHI","SIN INFORMACION DE DISTRITO",0
"169","CARTAGO","LA UNION","DULCE NOMBRE",19
"170","GUANACASTE","TILARAN","TILARAN",18
"171","LIMON","POCOCI","COLORADO",2
"172","GUANACASTE","SANTA CRUZ","SANTA CRUZ",69
"173","GUANACASTE","NICOYA","BELEN DE NOSARITA",20
"174","ALAJUELA","PALMARES","BUENOS AIRES",2
"175","ALAJUELA","RIO CUARTO","SANTA RITA",19
"176","GUANACASTE","LIBERIA","NACASCOLO",35
"177","GUANACASTE","NICOYA","MANSION",64
"178","HEREDIA","SANTA BARBARA","PURABA",6
"179","SAN JOSE","MORA","GUAYABO",3
"180","PUNTARENAS","PUNTARENAS","PUNTARENAS",52
"181","HEREDIA","BARVA","SAN PEDRO",97
"182","ALAJUELA","SAN RAMON","ANGELES",58
"183","GUANACASTE","SANTA CRUZ","SIN INFORMACION DE DISTRITO",0
"184","PUNTARENAS","ESPARZA","ESPIRITU SANTO",75
"185","GUANACASTE","LA CRUZ","SIN INFORMACION DE DISTRITO",0
"186","SAN JOSE","SAN JOSE","HATILLO",169
"187","SAN JOSE","ESCAZU","ESCAZU",191
"188","PUNTARENAS","PUNTARENAS","CHIRA",0
"189","SAN JOSE","SANTA ANA","URUCA",86
"190","HEREDIA","BARVA","SAN ROQUE",33
"191","HEREDIA","SAN RAFAEL","ANGELES",84
"192","LIMON","GUACIMO","MERCEDES",2
"193","PUNTARENAS","GARABITO","JACO",110
"194","PUNTARENAS","BUENOS AIRES","POTRERO GRANDE",6
"195","PUNTARENAS","ESPARZA","SAN JERONIMO",4
"196","SAN JOSE","DESAMPARADOS","ROSARIO",22
"197","SAN JOSE","DESAMPARADOS","SAN CRISTOBAL",18
"198","SAN JOSE","DESAMPARADOS","LOS GUIDO",46
"199","SAN JOSE","ACOSTA","SIN INFORMACION DE DISTRITO",0
"200","HEREDIA","FLORES","SIN INFORMACION DE DISTRITO",0
"201","SAN JOSE","MORAVIA","SAN JERONIMO",60
"202","HEREDIA","BARVA","SANTA LUCIA",31
"203","HEREDIA","SARAPIQUI","PUERTO VIEJO",36
"204","ALAJUELA","NARANJO","SIN INFORMACION DE DISTRITO",0
"205","SAN JOSE","PEREZ ZELEDON","PARAMO",5
"206","ALAJUELA","UPALA","UPALA",54
"207","ALAJUELA","SAN CARLOS","POCOSOL",13
"208","ALAJUELA","SARCHI","RODRIGUEZ",4
"209","ALAJUELA","POAS","SABANA REDONDA",7
"210","ALAJUELA","OROTINA","EL MASTATE",3
"211","SAN JOSE","PEREZ ZELEDON","RIVAS",6
"212","SAN JOSE","SANTA ANA","PIEDADES",58
"213","CARTAGO","TURRIALBA","TUIS",4
"214","CARTAGO","TURRIALBA","SIN INFORMACION DE DISTRITO",0
"215","CARTAGO","ALVARADO","CAPELLADES",2
"216","HEREDIA","SARAPIQUI","LA VIRGEN",12
"217","HEREDIA","SANTO DOMINGO","SIN INFORMACION DE DISTRITO",0
"218","GUANACASTE","ABANGARES","LAS JUNTAS",163
"219","SAN JOSE","PEREZ ZELEDON","SAN ISIDRO DE EL GENERAL",62
"220","SAN JOSE","PURISCAL","CANDELARITA",8
"221","SAN JOSE","SAN JOSE","SIN INFORMACION DE DISTRITO",0
"222","CARTAGO","TURRIALBA","TAYUTIC",11
"223","SAN JOSE","TIBAS","SAN JUAN",44
"224","ALAJUELA","PALMARES","LA GRANJA",8
"225","PUNTARENAS","COTO BRUS","SIN INFORMACION DE DISTRITO",1
"226","ALAJUELA","SAN CARLOS","VENECIA",6
"227","HEREDIA","FLORES","BARRANTES",10
